,UASB_004,UASB_005,UASB_006,UASB_007,UASB_008,UASB_009,UASB_010,UASB_011,UASB_012,UASB_013,UASB_014,UASB_015,UASB_016,UASB_017,UASB_018,UASB_019,UASB_020,UASB_021,UASB_022,UASB_023,UASB_024,UASB_025,UASB_026,UASB_027,UASB_028,UASB_029,UASB_030,UASB_031,UASB_032,UASB_033,UASB_034,UASB_035,UASB_036,UASB_037,UASB_038,UASB_039,UASB_040,UASB_041,UASB_042,UASB_043,UASB_044,UASB_045,UASB_046,UASB_047,UASB_048,UASB_049,UASB_050,UASB_051,UASB_052,UASB_053,UASB_054,UASB_055,UASB_056,UASB_057,UASB_058,UASB_059,UASB_060,UASB_061,UASB_062,UASB_063,UASB_064,UASB_065,UASB_066,UASB_067,UASB_068,UASB_069,UASB_070,UASB_071,UASB_072,UASB_073,UASB_074,UASB_075,UASB_076,UASB_077,UASB_078,UASB_079,UASB_080,UASB_081,UASB_082,UASB_083,UASB_084,UASB_085,UASB_086,UASB_087,UASB_088,UASB_089,UASB_090,UASB_091,UASB_092,UASB_093,UASB_094,UASB_095,UASB_096,UASB_097,UASB_098,UASB_099,UASB_100,UASB_101,UASB_102,UASB_103,UASB_104,UASB_105,UASB_106,UASB_107,UASB_108,UASB_109,UASB_110,UASB_111
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Ardenticatenales;f__uncultured;g__uncultured;s__uncultured_bacterium,0.13597627,0.162635348,0.128859126,0.1239489,0.117177599,0.0457512,0.046613794,0.068054984,0.078113316,0.061751281,0.064856611,0.0356402,0.047097606,0.064221702,0.056243004,0.074700481,0.121730102,0.081366975,0.077682498,0.073452557,0.078201903,0.070874298,0.015108009,0.022877296,0.045270794,0.031539811,0,0.060716486,0.037874026,0.019930193,0.064213174,0.064835614,0.033342413,0.055302075,0.088313225,0.042311118,0.038866386,0.072295698,0.0573309,0.039907609,0.058045014,0.048548395,0.053918009,0.048189891,0.058784885,0.039710699,0.107311018,0.058876379,0.085407506,0.072495295,0.066651914,0.092925703,0.063329204,0.117904694,0.054577704,0.071138185,0.109187833,0.085990701,0.047214425,0.076394198,0.066319538,0.098009921,0.059573907,0.069961201,0.080476142,0.0817142,0.066506198,0.054059199,0.085907704,0.093717765,0.099656401,0.10013767,0.09002863,0.092203974,0.112456949,0.094488181,0.100550966,0.101649641,0.058414831,0.106290158,0.082012779,0.097406873,0.099236929,0.095216816,0.114224059,0.097920811,0.097727112,0.098282804,0.091852696,0.083351315,0.105191507,0.119394127,0.101120473,0.093995496,0.080220383,0.086331518,0.082649277,0.074997722,0.080547705,0.098252021,0.119896741,0.093324232,0.130544422,0.121082771,0.083261628,0.076988453,0.055019583,0.080467382
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;s__Treponema_caldarium,0,0.011828004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019930193,0,0.014735403,0.030311312,0.047006778,0.047100413,0.030558013,0.038866386,0.072295698,0.0747794,0.074114216,0.052240513,0.038838696,0.014378102,0.039154293,0.027663493,0.039710699,0.027693205,0.02788879,0.046364103,0.028998098,0.031739006,0.023980801,0.018998801,0.060636697,0.044344403,0.125338773,0.122033536,0.100322501,0.138270674,0.092309697,0.10533096,0.117067325,0.129660814,0.139922403,0.177796194,0.2088251,0.215353393,0.184437297,0.185560609,0.255300076,0.250859103,0.16585295,0.226623675,0.267073525,0.231340095,0.270866046,0.284894488,0.34851314,0.347414585,0.35157516,0.401276996,0.379096893,0.403791619,0.406071567,0.44103164,0.437379651,0.394060748,0.496874119,0.416398781,0.515543595,0.473361832,0.512399717,0.445476783,0.467212677,0.530152289,0.548017316,0.550995013,0.578107073,0.677943343,0.672250963,0.679414932,0.85236139,0.720961423,0.804335705,0.815389274,0.870766199,0.92799741,0.969107278
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;__;__,2.369008974,2.055119212,1.55973182,1.406987997,1.184443889,1.021777609,0.89898108,0.908533889,0.805167667,0.700876685,0.707526419,0.557283604,0.868362318,0.865303427,1.101178174,1.284847474,1.605801626,1.566313621,2.294869638,1.223266791,1.135376243,0.923183178,0.598278039,0.50003261,0.540016132,0.384785335,0.517596148,1.019397068,0.742331004,0.674306377,1.019383985,0.789815065,0.660786554,0.575141435,0.420959819,0.411358376,0.408097058,0.433774086,0.4736029,0.450386297,0.53981903,0.420752755,0.49245158,0.530088402,0.632801834,0.666572078,0.626557804,0.505097318,0.771107958,0.681455653,0.774431257,0.917266232,0.661790344,0.501936976,0.982398775,0.74525734,0.892771367,0.643138707,0.526103081,0.595238081,0.542259508,0.694236646,0.546677961,0.747312914,0.602635418,0.671872201,0.668228978,0.59465129,0.501701023,0.908092627,0.780068709,0.916885423,0.859928285,0.890245249,0.812903233,0.740157351,0.821166543,0.685409176,0.593371816,0.591409365,0.489147774,0.610767228,0.619375282,0.602106099,0.545737002,0.564676766,0.598972372,0.52963502,0.584795273,0.441453482,0.451704731,0.517374418,0.475539675,0.478270988,0.380175021,0.37535428,0.388451562,0.274991482,0.31883472,0.297341762,0.418101443,0.342188916,0.29372505,0.296941128,0.26701129,0.244239268,0.25675812,0.335863923
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__Vermiphilaceae;s__uncultured_bacterium,0.483471193,0.325270697,0.335570569,0.2210981,0.212186498,0.167754502,0.199773573,0.183748457,0.168244035,0.154378153,0.091388815,0.116640701,0.167785223,0.169004605,0.239772716,0.182269054,0.331520305,0.351621392,0.404596189,0.18928149,0.185367507,0.132662097,0.099712956,0.140532075,0.103476187,0.078849428,0.065208993,0.159780064,0.17674552,0.156120148,0.232772705,0.176824237,0.121245247,0.149315531,0.17662645,0.115180349,0.116599159,0.135554396,0.1595294,0.136826229,0.156721638,0.152118284,0.172537728,0.10842718,0.15214906,0.150333295,0.173082229,0.176629136,0.26110302,0.153689989,0.187260038,0.221822508,0.132991409,0.252652888,0.13303321,0.179539261,0.112399234,0.132569001,0.13152577,0.098675797,0.115083865,0.114344824,0.119147713,0.098581702,0.112292359,0.1180316,0.101342797,0.124018198,0.079035104,0.164814014,0.192439902,0.20027534,0.173848358,0.181228449,0.257044484,0.144881871,0.178059018,0.209107884,0.129127569,0.14989634,0.137664364,0.147426559,0.174520151,0.156827626,0.104705362,0.143617217,0.148166818,0.122853505,0.137778994,0.138918926,0.114473108,0.141780532,0.136649364,0.138228641,0.104635278,0.123866926,0.101934095,0.115621435,0.077191605,0.121522303,0.101451135,0.077770226,0.071206112,0.089370678,0.097617033,0.066369346,0.077027476,0.080467382
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__SBR1031;g__SBR1031;s__uncultured_bacterium,1.365806197,1.117748233,0.985235102,0.763793498,0.582721095,0.610016505,0.559366025,0.714577234,0.67598034,0.741014973,0.465788278,0.408242603,0.544566174,0.594896118,0.725238349,0.82768079,1.160321219,1.081017869,1.320601964,0.830578418,0.822568531,0.612426585,0.395830424,0.428132523,0.135812383,0.271242095,0.268986973,0.715814837,0.643858537,0.524829626,0.676244825,0.551102315,0.436482868,0.779759041,0.74477501,0.514785621,0.492307529,0.780190974,0.6032205,0.41903029,0.70524747,0.527559244,0.524802385,0.551171498,0.598222443,0.453836285,0.889642948,0.697220148,0.807711161,0.611860158,0.844256971,0.893285431,0.569963038,0.84891356,0.743621257,0.775745133,0.892771367,0.788247909,0.721705486,0.63661828,0.684651289,0.642509235,0.613260468,0.616930612,0.507186967,0.611343101,0.497213084,0.60737109,0.587608727,0.924250939,0.810996609,0.888721732,0.835092777,0.842553462,0.861099111,0.777952644,0.697572561,0.874187151,0.84547795,0.733129508,0.770334601,0.766091685,0.752831921,0.798140632,0.599676183,0.711557983,0.627344776,0.660678725,0.65827747,0.626678716,0.541426937,0.671591853,0.470073676,0.503152113,0.52666449,0.561154719,0.724558475,0.556232767,0.543697134,0.545557564,0.482661265,0.513283275,0.445037876,0.521809173,0.53689368,0.480514331,0.366797385,0.56677037
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Anaerolineaceae_UCG-001;s__uncultured_bacterium,0.057412187,0.056183117,0.029530206,0.0368497,0,0.0244007,0,0,0,0.018525394,0,0,0.032379604,0,0.020721101,0.032868192,0.02849,0.014529796,0.029130899,0.025425885,0.017378201,0,0.021151212,0,0,0,0.018339998,0.047933989,0.030299221,0.02989539,0.030099888,0.029470706,0.045466918,0.082953062,0.100088328,0.096375341,0.116599159,0.147603695,0.1769779,0.142527331,0.220571253,0.18772048,0.168943227,0.21685436,0.280092627,0.428307986,0.550401691,0.501998519,0.580771144,0.617659857,0.701431542,0.728417325,0.604794041,0.400875881,0.613999247,0.813007925,0.741835222,0.523110006,0.44853664,0.251464192,0.165798794,0.133402328,0.147182516,0.066781101,0.082347743,0.0847406,0.047504398,0.104938498,0.020617801,0.048474733,0.051546401,0.059456782,0.068297523,0.03497389,0.019278291,0.044094491,0.025137717,0,0.046117025,0.02452849,0.023432194,0,0,0.0028,0.022210192,0.045696405,0,0.00273,0.021432299,0.015435403,0.027844802,0.029848507,0.027329893,0.027645728,0,0.00188,0.016529815,0.003120001,0.016780801,0,0.027668509,0,0.029669205,0.037477991,0.034453112,0.034512124,0,0.038484391
d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__WCHB1-41;f__WCHB1-41;g__WCHB1-41;s__uncultured_bacterium,0.024173595,0.014785004,0.05100671,0.0401997,0.060172299,0.088452401,0.056602492,0.108887975,0.153222232,0.111152266,0.097284916,0.084240501,0.07064641,0.060841602,0.062163304,0.110556672,0.049210001,0.090084872,0.087392798,0.056501967,0.072409203,0.052701399,0.01812961,0.022877296,0.025868997,0.104081236,0.071322293,0.099063677,0.090897662,0.093007769,0.136452944,0.073676815,0.066684926,0.038711482,0,0.016454307,0.02914979,0.036147799,0.0623162,0.037057108,0.046436011,0.055021494,0.079079813,0.117462778,0.138317364,0.173025094,0.100387717,0.158036543,0.095168407,0.078294895,0.044434609,0.032973601,0.028498102,0.023580899,0.023877702,0.115176175,0.064228119,0.195270502,0.202347308,0.245097992,0.232118232,0.23957965,0.26633023,0.51516891,0.484728555,0.553840601,0.452875585,0.57875159,0.512009924,0.517063457,0.353951904,0.394292081,0.288712396,0.260714626,0.289175069,0.214173157,0.184343522,0.200395081,0.162946687,0.144445643,0.152309461,0.136896062,0.082127124,0.187633031,0.152298745,0.221953826,0.208064125,0.226596409,0.199014091,0.361189167,0.44551703,0.517374418,0.445476783,0.544620656,0.57549428,0.608074029,0.589564749,0.659354598,0.745066547,0.819629045,0.85157429,0.858582992,0.93754656,1.017672053,1.105369271,1.261018168,1.228771215,1.112549145
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__mle1-8;f__mle1-8;g__mle1-8;s__uncultured_bacterium,0.154106466,0.138979241,0.110067123,0.1105491,0.117177599,0.097602601,0.126523283,0.088471479,0.108156822,0.120414963,0.067804611,0.064800401,0.088308012,0.145343905,0.14208751,0.134460766,0.152810202,0.174357747,0.165075296,0.093228146,0.083994703,0.101768198,0.084604948,0.078436486,0.045270794,0.047309717,0.046868995,0.102259277,0.098472467,0.106294565,0.132439646,0.109041623,0.090933935,0.168671322,0.147188742,0.108128446,0.100404865,0.147603695,0.1221397,0.099769121,0.110285627,0.080913991,0.115025219,0.102403481,0.121027668,0.127641496,0.12115762,0.120851456,0.141532511,0.095693793,0.117434224,0.134892105,0.107659707,0.128010794,0.119388709,0.135501371,0.179838854,0.159441102,0.151760481,0.152788395,0.130688474,0.206909743,0.154191217,0.146282503,0.157209283,0.1513226,0.193184694,0.155817697,0.171815408,0.210057045,0.268041203,0.194016741,0.183161661,0.171690152,0.19920951,0.192125961,0.261851573,0.258480604,0.236733826,0.220756512,0.202102948,0.229037736,0.222427565,0.274448345,0.158644443,0.186049522,0.204911625,0.171994907,0.21126109,0.166702731,0.201101414,0.179091141,0.213172944,0.132699435,0.170904364,0.193307441,0.19284828,0.184369255,0.181232411,0.165477168,0.20597647,0.20531337,0.186915932,0.20468755,0.252655885,0.209727244,0.209074535,0.188923457
d__Bacteria;p__Spirochaetota;c__Leptospirae;o__Leptospirales;f__Leptospiraceae;g__RBG-16-49-21;s__metagenome,0.063455586,0.026613008,0.034899307,0.0435496,0.0253357,0.0335509,0.019977397,0.023819194,0.036052307,0,0.035376306,0,0.017661602,0,0.026641402,0.023904094,0.041440001,0.069743079,0.097103097,0.031076082,0.046341902,0.065422398,0.030216017,0.019609096,0,0,0,0.057520887,0.045448831,0.069755877,0.054179878,0.029470706,0,0.041476581,0,0.04701242,0.045344084,0.021086199,0.0224338,0.022804405,0.04063151,0.035602196,0,0.021083096,0,0.042547199,0.079617813,0.037185087,0.056124904,0.031897898,0.060304112,0,0.044330503,0.050530598,0.040933303,0.050812989,0.06743952,0.0143318,0.043841923,0.041380199,0.062418335,0.032670007,0.045556505,0.047700801,0.014972308,0,0.028502699,0.041339399,0.072162503,0.135729194,0.092783501,0.078232576,0.080715327,0.057230084,0.099604755,0.044094491,0.073318448,0.058085523,0.095308451,0.079036269,0.084941878,0.057917584,0.095814928,0.067211811,0.047593383,0.068544608,0.053592306,0.057331602,0.070420397,0.046306309,0.074252805,0.054722312,0.098387474,0.071878873,0.059293388,0.071317315,0.090914185,0.049998415,0.067123104,0.098252021,0.076856926,0.065326922,0.05637151,0.060541385,0.043066314,0.063714644,0.073359477,0.048980189
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__Pedosphaeraceae;s__uncultured_bacterium,0,0,0,0.1004991,0.126678499,0.085402301,0,0,0.123178625,0,0,0,0.07359001,0,0.106565607,0,0.139860102,0.171451748,0,0.096053244,0.121647505,0.054518699,0,0.058827389,0,0,0,0,0.078272953,0.079720974,0,0,0,0,0,0,0,0,0.0373897,0,0,0,0,0,0.027663493,0.051056598,0.051924709,0.058876379,0.090287907,0.078294895,0.101564721,0.107913704,0.085494406,0.047161898,0.102333208,0.098238479,0.131667739,0.112862801,0.161877887,0.130506696,0.132638975,0.125234826,0.126156414,0.184443204,0.179667695,0.2088251,0.180516794,0.171717497,0.178688008,0.219751952,0.226804102,0.20027534,0.164535055,0.162151854,0.163865926,0.204724359,0.163395408,0.133596754,0.116829662,0.130818648,0.166954657,0.14216136,0.13687854,0.215638036,0.215756522,0.244802028,0.267961332,0.242976909,0.284743287,0.243879945,0.222758515,0.233813453,0.300628521,0.240517745,0.24066125,0.215828746,0.2148881,0.184369255,0.174520111,0.230116716,0.209050771,0.223978176,0.278890448,0.20468755,0.229687177,0.204417641,0.194402639,0.213413551
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__uncultured;g__uncultured;s__uncultured_bacterium,0.021151895,0,0.018791904,0.0267998,0,0,0.026636496,0.010208198,0,0.018525394,0,0,0.026492404,0.030420801,0.023681302,0.029880192,0.02849,0.043589387,0,0.042376475,0.055031002,0.039980399,0.009060005,0,0,0,0,0.025564794,0,0,0.012039995,0,0,0.013825494,0,0,0,0.0120493,0,0,0,0,0,0.018071197,0,0,0,0,0.014641301,0.017398899,0.022217305,0.032973601,0.028498102,0.023580899,0.040933303,0.037262892,0,0.0232891,0.067449136,0.015915499,0.03511032,0.029947506,0.007010001,0.0254404,0.033687718,0.0121058,0.022168699,0.063599099,0.030926801,0.071096249,0.058419201,0.068844679,0.062088721,0.092203974,0.086752561,0.059842488,0.092171761,0.058085523,0.058414831,0.098113961,0.111303071,0.057917584,0.075283222,0.078413813,0.11105116,0.068544608,0.091422111,0.073712103,0.085729196,0.10804802,0.061877404,0.092032921,0.057392685,0.099524602,0.080220383,0.076947616,0.071629367,0.046873514,0.050342303,0.06205395,0.073782625,0.05910532,0.080106814,0.074955982,0.057421819,0.066369346,0.03301179,0.034985792
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__RBG-13-54-9;f__RBG-13-54-9;g__RBG-13-54-9;__,0.072520684,0.085753126,0.067114114,0.0904492,0.066506199,0.0427012,0.029965996,0.054443987,0.018026104,0.061751281,0.035376306,0.0388802,0.055928408,0.033800901,0.068083605,0.050796287,0.103600102,0.075554977,0.122997197,0.073452557,0.057927402,0.043614999,0.039280922,0,0,0.034693712,0,0.063912085,0.068173246,0.033217089,0.054179878,0.04715311,0.042435816,0.055302075,0.050044214,0.028207412,0.045344084,0.045184799,0.0548382,0.04560871,0.04063151,0.064731193,0.046729008,0.066261088,0.079532479,0.039710699,0.090002815,0.068172675,0.056124904,0.110192792,0.079347416,0.065947202,0.075995105,0.064005397,0.068222105,0.088075881,0.06743952,0.051952701,0.087683847,0.044563299,0.054616031,0.040837409,0.063078207,0.038160701,0.048660026,0.0423703,0.034836599,0.079498799,0.054980903,0.067864547,0.120274901,0.087620474,0.049670916,0.025435593,0.083539462,0.066141687,0.102645768,0.101649641,0.073787139,0.068134673,0.090799877,0.073713279,0.065017319,0.072812812,0.08249517,0.052224406,0.059897207,0.084632403,0.061235097,0.086438416,0.105191507,0.072133916,0.060125684,0.080172582,0.083708283,0.061933413,0.044079641,0.093747128,0.026849202,0.067225146,0.098376834,0.071548624,0.047470708,0.060541385,0.02871091,0.031857322,0.066023479,0.048980189
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R-7_group;__,0.024173595,0,0,0.0334997,0.0411705,0.0335509,0.119864184,0.08506868,0.09613942,0.154378153,0.094336816,0.126360801,0.158954422,0.175764705,0.174649212,0.209161247,0.266770304,0.206323337,0.155364896,0.200581884,0.196953007,0.228978495,0.262879749,0.33335504,0.268391266,0.337475718,0.307704769,0.223692149,0.166645713,0.202624033,0.178592827,0.182718438,0.290988612,0.240563989,0.188401553,0.251516208,0.362752874,0.240985592,0.2168603,0.202388844,0.177037443,0.220086076,0.194105031,0.15962887,0.162522857,0.175861594,0.103849317,0.130147753,0.141532511,0.081194694,0.117434224,0.077937603,0.063329204,0.077480196,0.085277706,0.108401077,0.102765031,0.102113901,0.07419404,0.063661798,0.091676952,0.070784915,0.126156414,0.034980601,0.031816117,0.1028993,0.072840098,0.124018198,0.079035104,0.032316422,0.085910701,0.078232576,0.037253212,0.079486178,0.070687268,0.094488181,0.067034044,0.087128335,0.089159447,0.089937864,0.055651586,0.07108068,0.088971026,0.092416315,0.085668069,0.075072609,0.066202208,0.098282804,0.058173397,0.040132107,0.074252805,0.047260211,0.065591683,0.102289204,0.118586675,0.103222422,0.08540428,0.03437391,0.067123104,0.033612573,0.119896741,0.111989038,0.05933841,0.126848669,0.14929665,0.108845775,0.058687582,0.08746458
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__PeM15;f__PeM15;g__PeM15;__,0,0,0,0,0,0,0,0,0,0.142027856,0,0,0,0,0.174649212,0,0,0,0,0,0,0,0,0,0.284559364,0.242856285,0.09781349,0.127824071,0.116147079,0,0.082273067,0.09430632,0.184898971,0.348403039,0.373859405,0.347891649,0.255870311,0.385576987,0.3290294,0.165331736,0.162526139,0.145645184,0.071890712,0.123486477,0.121027668,0.136150896,0.18000553,0.154937844,0.190336714,0.194287387,0.187260038,0.152877705,0.107659707,0.131379494,0.191022015,0.159214066,0.221587166,0.218559702,0.198974906,0.159154595,0.156045889,0.155182333,0.231286826,0.308465306,0.267630041,0.2330367,0.209019493,0.200337097,0.21305111,0.158350709,0.209622002,0.203404639,0.257667986,0.235279134,0.183144217,0.185826763,0.148731698,0.212012185,0.215212514,0.20167872,0.254825534,0.239568233,0.140300441,0.140024623,0.152298745,0.17625752,0.122946915,0.182915207,0.177581792,0.157441429,0.114473108,0.092032921,0.109319471,0.121641124,0.101147479,0.114483024,0.107444,0.084372425,0.077191605,0.064639548,0.055336919,0.040440514,0.047470708,0.054775587,0.048808516,0.039821627,0,0.020991495
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__uncultured;s__uncultured_Chloroflexi,0.108780976,0.047312114,0.077852316,0.0200998,0.076007099,0.0518514,0.07657989,0.068054984,0.054078411,0.046313386,0.041272407,0.0129601,0.050041207,0.057461602,0.038482003,0.062748384,0.103600102,0.122050363,0.126233997,0.079102654,0.081098303,0.021807499,0.027194415,0.026145495,0.006469999,0.025231809,0.028528897,0.060716486,0.035349124,0.033217089,0.004009998,0.026523606,0.045466918,0.094013457,0.050044214,0.016454307,0.051821882,0.117480496,0.0473603,0.022804405,0.055142813,0.022655898,0.032350805,0.021083096,0.034579291,0.048220098,0.072694512,0.080567671,0.073206405,0.118892292,0.09839082,0.143884905,0.050663403,0.026949599,0.010233301,0.074525684,0.080285224,0.057327101,0.060704232,0.098675797,0.058517233,0.089842419,0.077095609,0.044520801,0.044916924,0.0514497,0.072840098,0.034979499,0.058417203,0.08725446,0.058419201,0.090749773,0.071402024,0,0.035343584,0.059842488,0.043991029,0.058085523,0.055340329,0.038155485,0.102515974,0.068448081,0.082127124,0.070012312,0,0.058752507,0.018914902,0.040951202,0.045926298,0.05248051,0.018563201,0.094520322,0.008199998,0.046997748,0.04882979,0.056303112,0.066119362,0.068747921,0.073835405,0.028441377,0.05841122,0.065326922,0,0.057658486,0.043066314,0.045131131,0.044015686,0.013994297
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Pla1_lineage;f__Pla1_lineage;g__Pla1_lineage;s__uncultured_bacterium,0.489514591,0.393281817,0.354362473,0.304847399,0.259690898,0.225706102,0.273023863,0.241595144,0.216313745,0.203779137,0.165089528,0.132840901,0.229600831,0.158864305,0.346338323,0.391430301,0.372960406,0.406834676,0.436963888,0.234482964,0.26356951,0.238064894,0.181296403,0.183018467,0,0.145082951,0.136531286,0.242865745,0.194420032,0.189337237,0.323072469,0.179771338,0.148525457,0.251624384,0.203120457,0.157491468,0.161943244,0.240985592,0.1221397,0.165331736,0.214766752,0.142408585,0.129403321,0.156617071,0.148691161,0.124804996,0.207698734,0.192122931,0.248901919,0.185587887,0.193607839,0.167865706,0.113992608,0.21222839,0.150088711,0.210027055,0.240855572,0.227517003,0.24281683,0.175069994,0.187255106,0.198742242,0.203252023,0.159002703,0.162823886,0.1513226,0.199518593,0.200337097,0.206178509,0.290848201,0.268041203,0.269119919,0.273190191,0.254355728,0.224913998,0.245669251,0.253472268,0.226533591,0.230584923,0.196228022,0.222606243,0.205344142,0.270335079,0.196034532,0.212583623,0.17625752,0.223826527,0.169264806,0.257187488,0.191399435,0.170162712,0.189040643,0.18857605,0.223930328,0.251124748,0.172663037,0.212133097,0.193743958,0.208081613,0.204260837,0.270536292,0.195980867,0.284824249,0.296941128,0.246913683,0.233620161,0.242086224,0.223909249
d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;__,0.474406095,0.354840706,0.295302061,0.261297799,0.262857898,0.250106802,0.206432672,0.210970451,0.156226532,0.19451644,0.188673732,0.174961101,0.153067221,0.209565706,0.236812516,0.292825726,0.354830406,0.374869085,0.446674188,0.285334735,0.26646591,0.170825196,0.117842667,0.124191078,0.109943386,0.100927335,0.118191288,0.172562561,0.164120811,0.176050442,0.234779404,0.150300631,0.118214146,0.12995984,0.135413638,0.110479147,0.132793454,0.156640695,0.1296176,0.122573526,0.142210434,0.122989287,0.132997822,0.117462778,0.124485567,0.119131996,0.193852132,0.130147753,0.161054212,0.124691891,0.171390535,0.155875305,0.113992608,0.151591693,0.177377513,0.152438967,0.170204651,0.094948001,0.067449136,0.117774396,0.072171241,0.070784915,0.098121711,0.095401602,0.091705348,0.0817142,0.069673198,0.050879299,0.054980903,0.113107578,0.137457002,0.081361875,0.127281842,0.120818966,0.167078924,0.091338582,0.129878386,0.09874544,0.083010544,0.084487066,0.096657975,0.078978478,0.075283222,0.070012312,0.057111979,0.039168305,0.075659709,0.054601502,0.076543896,0.104960919,0.092816006,0.074621317,0.030062892,0.066349768,0,0.04879611,0.057854454,0.028124108,0,0.059468352,0.061485521,0,0.029669205,0,0,0.05840504,0.036679689,0
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Spirochaeta;__,0.006039999,0.026613008,0,0.0234498,0,0.0183005,0.009989999,0,0.021030504,0.012350296,0.008840001,0,0,0,0.00296,0,0.054390101,0.020341694,0.032367699,0.01695059,0.026067301,0.00545,0.006040003,0,0,0,0,0.031955993,0.027774319,0,0.026086589,0,0.003030001,0.038711482,0.011775103,0,0.019433193,0.024098599,0.0174485,0.002850001,0.023218006,0.022655898,0,0.003009999,0.024205494,0.022691799,0.034616406,0.021691292,0.021961902,0.026098298,0.041260708,0.038968801,0.025331702,0.023580899,0.023877702,0.010162598,0.041748312,0.0322465,0.003370002,0.00318,0.01755521,0.013612503,0.017521702,0.0190803,0.016843809,0,0.00317,0.031799499,0,0.019389913,0.0412371,0.021905093,0.052775418,0.03497389,0.028917487,0.066141687,0.039801426,0.029042812,0.067638236,0.043606183,0.055651586,0.060550183,0.047907514,0.050408908,0.044420484,0.035904304,0.053592306,0.076442203,0.058173397,0.046306309,0.040220303,0.057209713,0.057392685,0.041468542,0.09765968,0.031905107,0.041324638,0.081247524,0,0.043954865,0.043039815,0.062216121,0.05637151,0.089370678,0.083261628,0.010619107,0.073359477,0.04198299
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__uncultured;__,0.67685975,0.523390056,0.475167897,0.391946699,0.291360497,0.292807903,0.253046466,0.25860894,0.306444363,0.247005024,0.206361835,0.220321402,0.285529339,0.378570212,0.432182829,0.427286491,0.567210609,0.525979139,0.582618484,0.37856298,0.388113315,0.307121993,0.24777174,0.235309458,0.113176986,0.138775049,0.160984684,0.300386632,0.272692985,0.195980635,0.307019175,0.277024658,0.172774467,0.337342544,0.297321284,0.246815006,0.252631512,0.334367589,0.2667132,0.142527331,0.354074885,0.226559176,0.24442854,0.240949255,0.224765641,0.226918193,0.42232077,0.285085597,0.375793128,0.324778878,0.371346175,0.263789009,0.243817516,0.320026885,0.306999623,0.315040632,0.395003218,0.349337204,0.354107789,0.286478191,0.26332745,0.33214457,0.283852032,0.254404405,0.28447385,0.248169,0.29136049,0.235316596,0.21992371,0.329627928,0.381443304,0.388033383,0.388054229,0.333841906,0.39841902,0.283464543,0.268135977,0.339800337,0.344340083,0.305243479,0.328051215,0.3554033,0.287444885,0.204436034,0.253831208,0.248066129,0.346773442,0.237516709,0.235755189,0.290186254,0.309386821,0.256199858,0.185843051,0.201813806,0.188343561,0.198937742,0.231417915,0.196868859,0.221506214,0.219774324,0.162936556,0.093324232,0.112742919,0.16432666,0.134941145,0.111500577,0.077027476,0.08746458
